Date,Open,High,Low,Close,Volume,Adj Close
2016-05-31,5.30,5.34,5.22,5.26,26598200,5.26
2016-05-27,5.28,5.36,5.25,5.35,26793200,5.35
2016-05-26,5.32,5.36,5.31,5.32,6235500,5.32
2016-05-25,5.22,5.33,5.21,5.27,43941300,5.27
2016-05-24,5.15,5.20,5.13,5.19,8034500,5.19
2016-05-23,5.12,5.16,5.09,5.10,12478300,5.10
2016-05-20,5.21,5.26,5.20,5.22,8249800,5.22
2016-05-19,5.10,5.20,5.09,5.19,18730100,5.19
2016-05-18,5.18,5.25,5.10,5.14,12369200,5.14
2016-05-17,5.26,5.30,5.21,5.27,11922200,5.27
2016-05-16,5.27,5.34,5.27,5.32,6855400,5.32
2016-05-13,5.44,5.47,5.27,5.28,12380900,5.28
2016-05-12,5.41,5.51,5.33,5.50,28161700,5.50
2016-05-11,5.50,5.51,5.39,5.44,11163700,5.44
2016-05-10,5.39,5.45,5.36,5.43,10408300,5.43
2016-05-09,5.31,5.33,5.14,5.32,17923800,5.32
2016-05-06,5.35,5.38,5.30,5.33,19914400,5.33
2016-05-05,5.49,5.49,5.34,5.35,13007100,5.35
2016-05-04,5.40,5.51,5.37,5.48,13338700,5.48
2016-05-03,5.40,5.50,5.37,5.45,16549800,5.45
2016-05-02,5.54,5.57,5.50,5.55,10950900,5.55
2016-04-29,5.58,5.60,5.47,5.59,18502100,5.59
2016-04-28,5.45,5.55,5.45,5.53,13196000,5.53
2016-04-27,5.43,5.48,5.38,5.45,14791900,5.45
2016-04-26,5.39,5.43,5.35,5.42,22083700,5.42
2016-04-25,5.36,5.37,5.31,5.36,4586100,5.36
2016-04-22,5.28,5.40,5.27,5.33,11574600,5.33
2016-04-21,5.44,5.45,5.31,5.39,12796500,5.39
2016-04-20,5.34,5.41,5.31,5.39,17188600,5.39
2016-04-19,5.26,5.39,5.25,5.38,11581100,5.38
2016-04-18,5.22,5.30,5.19,5.23,18768600,5.23
2016-04-15,5.28,5.35,5.27,5.34,14605700,5.34
2016-04-14,5.22,5.35,5.18,5.33,13864600,5.33
2016-04-13,5.22,5.27,5.19,5.24,20089000,5.24
2016-04-12,5.14,5.21,5.07,5.20,12146800,5.20
2016-04-11,5.19,5.20,5.10,5.17,15356400,5.17
2016-04-08,5.13,5.14,5.04,5.10,14180900,5.10
2016-04-07,5.05,5.08,4.96,5.01,10104600,5.01
2016-04-06,5.02,5.06,4.96,5.05,6953300,5.05
2016-04-05,5.06,5.09,4.99,5.09,10188500,5.09
2016-04-04,5.15,5.17,5.07,5.10,14530500,5.10
2016-04-01,5.13,5.28,5.09,5.24,15697200,5.24
2016-03-31,5.24,5.27,5.15,5.18,16452800,5.18
2016-03-30,5.31,5.36,5.22,5.24,16750900,5.24
2016-03-29,5.26,5.32,5.21,5.27,24180400,5.27
2016-03-28,5.23,5.29,5.19,5.27,12356400,5.27
2016-03-24,5.08,5.16,5.07,5.12,29371700,5.12
2016-03-23,5.11,5.16,5.09,5.11,18658400,5.11
2016-03-22,5.10,5.18,5.06,5.15,26053800,5.15
2016-03-21,5.05,5.16,5.03,5.14,19933200,5.14
2016-03-18,5.14,5.15,5.04,5.09,24624200,5.09
2016-03-17,5.05,5.08,4.94,5.05,28963000,5.05
2016-03-16,4.74,4.83,4.63,4.81,16855000,4.81
2016-03-15,4.80,4.91,4.76,4.82,20962900,4.82
2016-03-14,4.93,4.99,4.88,4.91,15132800,4.91
2016-03-11,5.11,5.14,4.96,4.99,27487700,4.99
2016-03-10,5.02,5.12,4.92,5.10,32429700,5.10
2016-03-09,5.13,5.14,4.99,5.00,26302700,5.00
2016-03-08,5.04,5.05,4.94,5.00,19438000,5.00
2016-03-07,5.01,5.11,4.99,5.04,21879200,5.04
2016-03-04,5.00,5.09,4.98,5.08,36782800,5.08
2016-03-03,4.72,4.84,4.69,4.84,17030400,4.84
2016-03-02,4.60,4.67,4.55,4.65,17186500,4.65
2016-03-01,4.39,4.63,4.39,4.62,21734600,4.62
2016-02-29,4.48,4.48,4.33,4.34,12139100,4.34
2016-02-26,4.51,4.51,4.35,4.37,8342700,4.37
2016-02-25,4.48,4.51,4.40,4.46,8771400,4.46
2016-02-24,4.48,4.57,4.43,4.55,13337800,4.55
2016-02-23,4.62,4.64,4.53,4.57,13570900,4.57
2016-02-22,4.66,4.75,4.63,4.70,13643500,4.70
2016-02-19,4.46,4.55,4.45,4.50,5138600,4.50
2016-02-18,4.53,4.55,4.47,4.51,9618700,4.51
2016-02-17,4.49,4.65,4.48,4.58,16910300,4.58
2016-02-16,4.46,4.48,4.38,4.42,14423400,4.42
2016-02-12,4.45,4.51,4.44,4.49,8256500,4.49
2016-02-11,4.45,4.46,4.38,4.44,8266300,4.44
2016-02-10,4.54,4.55,4.40,4.49,14366500,4.49
2016-02-09,4.51,4.57,4.41,4.45,16884100,4.45
2016-02-08,4.55,4.59,4.50,4.56,10763800,4.56
2016-02-05,4.73,4.74,4.58,4.60,15349500,4.60
2016-02-04,4.75,4.82,4.68,4.74,18585600,4.74
2016-02-03,4.53,4.66,4.41,4.64,19940700,4.64
2016-02-02,4.56,4.57,4.43,4.43,19050700,4.43
2016-02-01,4.48,4.65,4.45,4.63,20012300,4.63
2016-01-29,4.51,4.68,4.47,4.67,19187800,4.643
2016-01-28,4.41,4.48,4.34,4.40,21767500,4.374561
2016-01-27,4.20,4.37,4.18,4.33,22337000,4.304966
2016-01-26,4.07,4.16,4.04,4.16,17300900,4.135948
2016-01-25,4.09,4.14,4.04,4.09,11907700,4.066353
2016-01-22,3.98,4.11,3.95,4.11,24032600,4.086238
2016-01-21,3.92,3.97,3.86,3.88,26020500,3.857568
2016-01-20,4.07,4.08,3.93,4.03,12204900,4.0067
2016-01-19,4.08,4.15,4.07,4.13,9357400,4.106122
2016-01-15,4.02,4.09,3.91,4.06,20311000,4.036527
2016-01-14,4.14,4.24,4.09,4.23,31235700,4.205544
2016-01-13,4.28,4.31,4.13,4.14,17525500,4.116064
2016-01-12,4.19,4.21,4.12,4.20,20734300,4.175717
2016-01-11,4.25,4.27,4.09,4.11,20853200,4.086238
2016-01-08,4.23,4.23,4.16,4.18,11960200,4.155833
2016-01-07,4.20,4.22,4.11,4.11,13126700,4.086238
2016-01-06,4.28,4.34,4.25,4.28,11505800,4.255255
2016-01-05,4.27,4.35,4.26,4.33,17926500,4.304966
2016-01-04,4.29,4.33,4.22,4.27,20496900,4.245313
2015-12-31,4.47,4.51,4.44,4.46,7005800,4.434214
2015-12-30,4.55,4.60,4.46,4.46,15449100,4.434214
2015-12-29,4.69,4.72,4.64,4.68,11317900,4.652942
2015-12-28,4.59,4.69,4.58,4.67,12924600,4.643
2015-12-24,4.58,4.62,4.54,4.57,3627800,4.543578
2015-12-23,4.50,4.59,4.49,4.59,16131800,4.563463
2015-12-22,4.42,4.51,4.38,4.49,14092400,4.46404
2015-12-21,4.51,4.57,4.43,4.45,12148400,4.385497
2015-12-18,4.56,4.60,4.44,4.44,42687600,4.375642
2015-12-17,4.77,4.80,4.57,4.62,16236300,4.553033
2015-12-16,4.52,4.75,4.46,4.73,16988100,4.661439
2015-12-15,4.68,4.69,4.56,4.56,10985800,4.493903
2015-12-14,4.62,4.67,4.58,4.59,17358600,4.523468
2015-12-11,4.71,4.71,4.62,4.62,28158200,4.553033
2015-12-10,4.83,4.87,4.70,4.70,12373600,4.631874
2015-12-09,4.90,4.98,4.83,4.89,21701500,4.81912
2015-12-08,4.80,4.82,4.70,4.81,17677100,4.740279
2015-12-07,4.96,4.98,4.85,4.88,14466300,4.809265
2015-12-04,4.92,5.03,4.87,4.87,14952700,4.799409
2015-12-03,4.98,5.00,4.88,4.95,15575200,4.87825
2015-12-02,4.82,4.83,4.72,4.82,20185300,4.750134
2015-12-01,4.78,4.87,4.77,4.81,20044200,4.740279
2015-11-30,4.77,4.85,4.76,4.77,45072300,4.700859
2015-11-27,5.01,5.01,4.89,4.90,7985000,4.828975
2015-11-25,4.91,4.98,4.89,4.96,10092600,4.888105
2015-11-24,5.05,5.10,5.02,5.06,12119700,4.986655
2015-11-23,5.14,5.17,5.04,5.06,12392000,4.986655
2015-11-20,5.15,5.28,5.13,5.17,21130400,5.095061
2015-11-19,5.15,5.16,5.10,5.14,28353300,5.065496
2015-11-18,5.01,5.13,5.01,5.13,20550400,5.055641
2015-11-17,4.99,5.03,4.94,5.01,13170100,4.93738
2015-11-16,4.92,5.01,4.89,4.97,16720700,4.89796
2015-11-13,4.92,5.02,4.89,4.93,15567300,4.85854
2015-11-12,4.93,5.04,4.91,4.95,18851700,4.87825
2015-11-11,5.06,5.06,4.92,5.02,14747800,4.947235
2015-11-10,4.83,4.98,4.76,4.92,13310800,4.848685
2015-11-09,4.97,4.98,4.83,4.83,9542400,4.759989
2015-11-06,5.00,5.01,4.91,4.98,14362100,4.907815
2015-11-05,5.11,5.12,5.03,5.06,16365200,4.986655
2015-11-04,5.17,5.20,5.01,5.06,14932000,4.986655
2015-11-03,4.98,5.19,4.98,5.17,19666900,5.095061
2015-11-02,4.92,5.00,4.88,4.95,20982300,4.87825
2015-10-30,4.87,4.96,4.84,4.87,18670400,4.799409
2015-10-29,4.87,4.95,4.81,4.87,13513000,4.799409
2015-10-28,5.00,5.05,4.87,4.89,17504900,4.81912
2015-10-27,5.00,5.08,4.93,5.03,29555100,4.957091
2015-10-26,5.07,5.08,4.97,4.97,15647900,4.89796
2015-10-23,5.02,5.07,5.01,5.04,12040800,4.966945
2015-10-22,4.95,5.05,4.93,5.00,44199100,4.927525
2015-10-21,4.98,4.99,4.87,4.92,18494200,4.848685
2015-10-20,4.96,5.00,4.90,4.98,8739200,4.907815
2015-10-19,4.89,4.99,4.85,4.96,10492300,4.888105
2015-10-16,5.00,5.05,4.86,4.99,16192900,4.91767
2015-10-15,4.80,5.03,4.71,5.01,52711500,4.93738
2015-10-14,4.84,4.89,4.71,4.79,48873600,4.720569
2015-10-13,5.05,5.08,4.74,4.77,72881300,4.700859
2015-10-12,5.20,5.24,5.08,5.10,17245400,5.026076
2015-10-09,5.21,5.30,5.15,5.22,12198100,5.144336
2015-10-08,5.16,5.21,5.06,5.15,40747900,5.075351
2015-10-07,5.21,5.27,5.11,5.15,14148100,5.075351
2015-10-06,5.22,5.27,5.10,5.12,14900600,5.045786
2015-10-05,5.14,5.23,5.12,5.20,10889800,5.124626
2015-10-02,4.87,5.10,4.85,5.09,12041600,5.016221
2015-10-01,4.90,4.95,4.82,4.93,12935800,4.85854
2015-09-30,4.92,4.95,4.85,4.90,15789500,4.828975
2015-09-29,4.67,4.83,4.62,4.78,14221800,4.710714
2015-09-28,4.83,4.84,4.69,4.71,21392300,4.641729
2015-09-25,4.81,4.96,4.75,4.87,20846400,4.799409
