Date,Open,High,Low,Close,Volume,Adj Close
2016-05-31,11.36,11.74,11.26,11.67,34216300,11.67
2016-05-27,11.06,11.30,10.87,11.30,7742400,11.30
2016-05-26,11.16,11.29,10.81,10.94,6326300,10.94
2016-05-25,10.87,11.13,10.70,11.12,8882000,11.12
2016-05-24,10.50,10.97,10.39,10.88,11837200,10.88
2016-05-23,10.47,10.48,10.21,10.35,5274000,10.35
2016-05-20,10.54,10.65,10.34,10.49,11797300,10.49
2016-05-19,10.66,10.98,10.42,10.52,13771600,10.52
2016-05-18,10.71,11.16,10.49,10.81,34646700,10.81
2016-05-17,12.52,12.99,12.12,12.31,13467200,12.31
2016-05-16,12.11,12.76,12.11,12.44,8095100,12.44
2016-05-13,12.25,12.29,11.81,12.00,7370800,12.00
2016-05-12,12.36,12.64,12.16,12.17,4061200,12.17
2016-05-11,12.47,12.82,12.21,12.26,8013400,12.26
2016-05-10,12.57,12.68,12.24,12.50,7555900,12.50
2016-05-09,12.49,12.90,12.28,12.63,6428800,12.63
2016-05-06,12.80,12.91,12.07,12.60,8358700,12.60
2016-05-05,13.21,13.26,12.70,12.93,4440300,12.93
2016-05-04,13.02,13.11,12.79,12.92,4458400,12.92
2016-05-03,13.13,13.25,12.73,13.05,3750700,13.05
2016-05-02,13.58,13.67,13.08,13.23,3908200,13.23
2016-04-29,13.76,13.99,13.27,13.64,7023900,13.64
2016-04-28,13.44,13.97,13.36,13.74,7903600,13.74
2016-04-27,13.18,13.47,13.02,13.46,3253900,13.46
2016-04-26,13.21,13.34,12.85,13.33,5990600,13.33
2016-04-25,13.20,13.34,12.87,13.15,5382800,13.15
2016-04-22,13.47,13.65,13.17,13.30,4906300,13.30
2016-04-21,14.16,14.30,13.35,13.45,7656600,13.45
2016-04-20,14.00,14.30,13.71,14.12,6263100,14.12
2016-04-19,14.62,14.67,13.91,13.98,9178200,13.98
2016-04-18,14.83,15.00,14.22,14.57,6059400,14.57
2016-04-15,14.60,14.84,14.54,14.67,3003800,14.67
2016-04-14,14.53,14.91,14.39,14.57,6470500,14.57
2016-04-13,14.51,15.03,14.26,14.63,12764800,14.63
2016-04-12,13.43,14.40,13.40,14.29,10235500,14.29
2016-04-11,13.13,13.84,12.96,13.38,10565600,13.38
2016-04-08,12.97,13.10,12.85,12.95,2830400,12.95
2016-04-07,12.85,13.24,12.81,12.94,3745700,12.94
2016-04-06,12.88,13.15,12.70,12.86,4579400,12.86
2016-04-05,12.82,13.02,12.64,12.89,3653800,12.89
2016-04-04,13.08,13.30,12.88,12.90,4724900,12.90
2016-04-01,12.84,13.22,12.62,13.08,7217300,13.08
2016-03-31,12.49,13.10,12.44,12.88,6689700,12.88
2016-03-30,12.30,12.73,12.30,12.59,7471000,12.59
2016-03-29,12.09,12.29,11.97,12.17,4314200,12.17
2016-03-28,12.50,12.51,12.05,12.13,4161900,12.13
2016-03-24,12.30,12.66,12.19,12.58,4384200,12.58
2016-03-23,12.82,12.99,12.20,12.41,8334900,12.41
2016-03-22,12.74,13.41,12.70,12.78,12606700,12.78
2016-03-21,12.27,12.92,12.20,12.86,12816500,12.86
2016-03-18,12.41,12.51,12.11,12.29,5962000,12.29
2016-03-17,12.51,12.62,12.21,12.30,5750600,12.30
2016-03-16,12.20,12.59,12.05,12.56,5720000,12.56
2016-03-15,12.25,12.34,11.90,12.26,6367000,12.26
2016-03-14,12.67,12.84,12.35,12.49,9844300,12.49
