Date,Open,High,Low,Close,Volume,Adj Close
2016-05-31,3.96,4.33,3.90,4.28,45789000,4.28
2016-05-27,3.35,3.38,3.06,3.07,9725500,3.07
2016-05-26,3.42,3.49,3.21,3.32,9345700,3.32
2016-05-25,3.06,3.30,3.03,3.30,12494300,3.30
2016-05-24,3.18,3.18,2.99,3.02,8210500,3.02
2016-05-23,2.87,3.13,2.85,3.03,7863800,3.03
2016-05-20,2.97,3.02,2.87,2.92,6567900,2.92
2016-05-19,2.85,3.00,2.77,2.92,6599300,2.92
2016-05-18,3.11,3.15,2.82,2.89,11988900,2.89
2016-05-17,3.03,3.26,2.95,3.17,9054800,3.17
2016-05-16,2.96,3.15,2.93,2.99,8718200,2.99
2016-05-13,3.01,3.10,2.81,2.91,10662200,2.91
2016-05-12,3.26,3.32,3.01,3.02,11288100,3.02
2016-05-11,3.18,3.40,3.15,3.24,11343400,3.24
2016-05-10,3.22,3.27,2.98,3.21,12019000,3.21
2016-05-09,3.34,3.35,2.88,3.02,24212100,3.02
2016-05-06,3.63,3.87,3.50,3.51,14829700,3.51
2016-05-05,4.38,4.41,3.69,3.70,17067400,3.70
2016-05-04,4.53,4.61,4.23,4.24,12821400,4.24
2016-05-03,5.07,5.16,4.62,4.65,13587600,4.65
2016-05-02,5.29,5.43,5.01,5.28,11103100,5.28
2016-04-29,5.45,5.75,5.03,5.27,20724000,5.27
2016-04-28,4.84,5.83,4.72,5.39,47322200,5.39
2016-04-27,3.85,4.34,3.72,4.31,11142400,4.31
2016-04-26,3.99,4.02,3.70,3.90,7150700,3.90
2016-04-25,4.28,4.35,3.82,3.88,7759700,3.88
2016-04-22,4.23,4.50,4.23,4.32,7848700,4.32
2016-04-21,4.47,4.67,4.23,4.30,12782600,4.30
2016-04-20,4.79,4.94,4.34,4.42,12441600,4.42
2016-04-19,4.59,4.83,4.51,4.71,9225500,4.71
2016-04-18,3.98,4.48,3.90,4.40,6816300,4.40
2016-04-15,3.93,4.24,3.81,4.10,6294900,4.10
2016-04-14,4.04,4.10,3.81,3.98,5993500,3.98
2016-04-13,4.16,4.45,3.82,3.98,17070400,3.98
2016-04-12,3.47,4.05,3.47,3.98,15473100,3.98
2016-04-11,3.07,3.55,3.02,3.53,11761900,3.53
2016-04-08,2.91,3.06,2.86,3.05,5386500,3.05
2016-04-07,2.93,2.97,2.80,2.84,3834300,2.84
2016-04-06,2.93,3.01,2.84,2.94,2755000,2.94
2016-04-05,2.83,3.04,2.82,2.90,3848300,2.90
2016-04-04,2.96,3.16,2.85,2.86,4929600,2.86
2016-04-01,2.82,3.07,2.77,2.99,3991200,2.99
2016-03-31,2.87,3.05,2.87,3.00,7298500,3.00
2016-03-30,3.10,3.13,2.82,2.92,6933700,2.92
2016-03-29,2.73,3.02,2.63,3.01,5883900,3.01
2016-03-28,2.81,2.88,2.62,2.79,5598000,2.79
2016-03-24,2.51,2.84,2.42,2.82,4988800,2.82
